Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-06-09,2469.5778,2554.3585,2469.5778,2551.2589,2534.6449,298046,0.0000,1.0
2022-06-10,2529.1522,2543.4646,2462.8318,2474.1359,2458.0241,246751,0.0000,1.0
2022-06-13,2419.2564,2437.033,2385.1618,2427.461,2411.6531,187994,0.0000,1.0
2022-06-14,2418.5271,2434.1614,2382.8372,2395.1441,2379.5467,152984,0.0000,1.0
2022-06-15,2379.3275,2404.3058,2356.6281,2366.8383,2351.4252,163116,0.0000,1.0
2022-06-16,2390.2669,2423.6322,2329.1428,2333.0172,2317.8244,282255,0.0000,1.0
2022-06-17,2308.2211,2392.5004,2308.2211,2360.4569,2345.0854,259291,0.0000,1.0
2022-06-20,2376.5926,2386.7116,2298.2845,2318.0666,2302.9712,141291,0.0000,1.0
2022-06-21,2326.8182,2363.5564,2305.4863,2356.1267,2340.7834,135235,0.0000,1.0
2022-06-22,2336.4813,2336.4813,2279.9609,2283.7897,2268.9175,191652,0.0000,1.0
2022-06-23,2297.2817,2301.7486,2229.8218,2246.778,2232.1467,282095,0.0000,1.0
2022-06-24,2269.9331,2289.0315,2250.1054,2279.733,2264.8872,182130,0.0000,1.0
2022-06-27,2323.7187,2323.7187,2262.6401,2271.7108,2256.9172,180405,0.0000,1.0
2022-06-28,2262.7769,2310.956,2262.7769,2305.4863,2290.4727,127683,0.0000,1.0
2022-06-29,2283.0148,2367.3397,2279.9609,2351.1128,2335.8022,305035,0.0000,1.0
2022-06-30,2348.3324,2384.6149,2340.4013,2364.7871,2349.3874,209154,0.0000,1.0
2022-07-01,2351.9789,2362.5992,2155.9806,2196.0463,2181.7455,1078836,0.0000,1.0
2022-07-04,2177.6772,2226.0386,2157.8039,2200.6044,2186.2739,893090,0.0000,1.0
2022-07-05,2210.6322,2246.8235,2203.9318,2218.1531,2203.7083,435731,0.0000,1.0
2022-07-06,2210.7234,2225.4005,2176.4009,2198.7812,2184.4625,259341,0.0000,1.0
2022-07-07,2210.4955,2218.7912,2165.1424,2176.6288,2162.4544,452454,0.0000,1.0
2022-07-08,2201.4705,2202.3365,2172.3898,2180.1386,2165.9413,222410,0.0000,1.0
2022-07-11,2169.6549,2213.4127,2160.8122,2209.0369,2194.6515,805038,0.0000,1.0
